iter	Passed	Remaining
0	4	494
1	9	455
2	13	425
3	17	416
4	21	404
5	23	370
6	25	344
7	28	324
8	30	310
9	33	297
10	35	285
11	38	283
12	40	273
13	43	265
14	46	261
15	49	257
16	50	248
17	52	238
18	54	230
19	55	222
20	57	214
21	58	207
22	60	201
23	61	195
24	63	190
25	64	184
26	66	179
27	67	174
28	69	169
29	70	165
30	72	161
31	74	157
32	75	153
33	76	149
34	78	145
35	79	141
36	80	137
37	82	133
38	83	130
39	84	126
40	85	123
41	86	119
42	88	116
43	89	114
44	91	111
45	92	109
46	94	106
47	95	103
48	97	101
49	98	98
50	99	95
51	101	93
52	102	90
53	103	88
54	104	85
55	105	83
56	106	80
57	108	78
58	109	76
59	110	73
60	112	71
61	113	69
62	114	67
63	116	65
64	117	63
65	118	61
66	119	59
67	121	57
68	122	55
69	123	53
70	124	51
71	126	49
72	127	47
73	129	45
74	131	43
75	132	41
76	133	39
77	134	38
78	136	36
79	137	34
80	138	32
81	140	30
82	141	28
83	142	27
84	143	25
85	145	23
86	146	21
87	147	20
88	148	18
89	150	16
90	151	14
91	152	13
92	153	11
93	155	9
94	156	8
95	157	6
96	158	4
97	160	3
98	161	1
99	162	0
